1	10
1	41
1	59
2	12
2	42
2	60
3	6
3	43
3	57
4	8
4	44
4	58
5	13
5	56
5	57
6	10
6	31
7	14
7	56
7	58
8	12
8	32
9	23
9	53
9	59
10	15
11	24
11	53
11	60
12	16
13	14
13	25
14	26
15	27
15	49
16	28
16	50
17	18
17	19
17	54
18	20
18	55
19	23
19	41
20	24
20	42
21	31
21	33
21	57
22	32
22	34
22	58
23	24
25	35
25	43
26	36
26	44
27	51
27	59
28	52
28	60
29	33
29	34
29	56
30	51
30	52
30	53
31	47
32	48
33	45
34	46
35	36
35	37
36	38
37	39
37	49
38	40
38	50
39	40
39	51
40	52
41	47
42	48
43	49
44	50
45	46
45	54
46	55
47	54
48	55
